"Level","Industry","Session Theme","Role","Products","Room","Venue Name","Session Date","Session Time","Session Start Time","Attendance Category","Session Duration","Enrollment Count","Session Format","Session: Session Name","Session Abstract"
"Beginner","High Tech; Professional Services","Sales Productivity; User Experience; Tips & Tricks","Sales; Salesforce Administrator; Service & Support","Sales Cloud; Cloud Services","Plaza Ballroom B","Hilton Union Square Hotel","Wednesday","12:30 p.m. - 1:10 p.m.","11/8/2017 12:30 PM","Small: > 200","40","96","Circle of Success","Drive Metrics Using Reports and Dashboards (3)","Join us for an intimate and interactive discussion with other customers to learn about the leading Key Performance Indicators that drive the reports and dashboards you rely on to make your most important business decisions. We'll discuss best practices for identifying, creating, managing, and assigning metrics in your business"
"Beginner","Communications; High Tech; Professional Services","Sales Productivity; User Experience; Tips & Tricks","New Customer; Sales; Salesforce Administrator","Sales Cloud; Service Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Thursday","8:30 a.m. - 9:10 a.m.","11/9/2017 8:30 AM","Small: > 200","40","48","Circle of Success","Drive Metrics Using Reports and Dashboards (4)","Join us for an intimate and interactive discussion with other customers to learn about the leading Key Performance Indicators that drive the reports and dashboards you rely on to make your most important business decisions. We'll discuss best practices for identifying, creating, managing, and assigning metrics in your business"
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Thursday","11:30 a.m. - 12:10 p.m.","11/9/2017 11:30 AM","Small: > 200","40","37","Circle of Success","Getting Started with Salesforce Customizations Nonprofit, Higher Ed and K-12 (2)","Salesforce.org nonprofit and education customers - Mirror your nonprofit process within your Salesforce instance to improve efficiency and boost adoption. This session will be a highly interactive small group discussion where we will focus on: Collaboratively learning what types of customizations can be made and identify common challenges with identifying, building, and augmenting your organization's Salesforce instance. We'll discuss best practices for customizing Salesforce to meet your organization's needs."
"Beginner","Communications; High Tech; Professional Services","Sales Productivity; User Experience; Tips & Tricks","New Customer; Salesforce Administrator","Sales Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Thursday","9:30 a.m. - 10:10 a.m.","11/9/2017 9:30 AM","Small: > 200","40","48","Circle of Success","Automate and Transform Your Business Using Process Builder (2)","Join us for an intimate and interactive discussion with other customers to learn how to leverage Process Builder. We'll demonstrate the ease with which the graphical interface of Process Builder can be used to create exciting new automated features in your Salesforce. We'll discuss best practices for identifying automation needs, using Process Builder, and creating a roadmap of automation features to help increase the value Salesforce brings to your users."
"Beginner","Communications; High Tech; Professional Services","User Experience; Lightning Adoption; Tips & Tricks","IT; Salesforce Administrator; Technical Architect","Sales Cloud; Lightning; Cloud Services","Plaza Ballroom B","Hilton Union Square Hotel","Tuesday","8:30 a.m. - 9:10 a.m.","11/7/2017 8:30 AM","Small: > 200","40","96","Circle of Success","Prepare for Your Lightning Transition: Strategies for Success (2)","Join us to learn how to successfully adopt and leverage Salesforce Lightning for your organization. Regardless of where you are on your transition journey, this is a great opportunity to exchange best practices and get tips for a successful launch."
"Beginner","Communications; High Tech; Professional Services","User Experience; Sales Enablement; Tips & Tricks","New Customer; Sales; Salesforce Administrator","Sales Cloud; Cloud Services","Plaza Ballroom B","Hilton Union Square Hotel","Wednesday","3:30 p.m. - 4:10 p.m.","11/8/2017 3:30 PM","Small: > 200","40","96","Circle of Success","Train End Users for Faster Adoption (3)","Join us for an intimate and interactive discussion with other customers to learn about end-user training techniques to increase Salesforce adoption and empower users in your company. We'll focus on the framework used to design and deliver an effective end-user training program. We'll discuss strategies on the five Ws, ways to develope a role-based curriculum, and explore ideas for delivering and measuring your training efforts."
"Beginner","Communications; High Tech; Professional Services","User Experience; Tips & Tricks","IT; Salesforce Administrator; Technical Architect","Sales Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Monday","1:00 p.m. - 1:40 p.m.","11/6/2017 1:00 PM","Small: > 200","40","48","Circle of Success","So You Have Acquired or Created a Mess: Now What? (1)","Enhancing Salesforce can be fun. New fields, workflows, validations, profiles, apex  - you name it, sky is the limit. But, have you out-enhanced Salesforce to a point that it is now a mess? How do you untangle the complex web of enhancement, and where do you start? Join us to learn how to assess the current state of your org and what is needed to clean up your mess or get your implementation back on track."
"Beginner","Communications; High Tech; Professional Services","User Experience; Tips & Tricks","IT; Salesforce Administrator; Technical Architect","Sales Cloud; Cloud Services","Plaza Ballroom A","Hilton Union Square Hotel","Wednesday","12:00 p.m. - 12:40 p.m.","11/8/2017 12:00 PM","Small: > 200","40","48","Circle of Success","So You Have Acquired or Created a Mess: Now What? (3)","Enhancing Salesforce can be fun. New fields, workflows, validations, profiles, apex  - you name it, sky is the limit. But, have you out-enhanced Salesforce to a point that it is now a mess? How do you untangle the complex web of enhancement, and where do you start? Join us to learn how to assess the current state of your org and what is needed to clean up your mess or get your implementation back on track."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Wednesday","11:00 a.m. - 11:40 a.m.","11/8/2017 11:00 AM","Small: > 200","40","37","Circle of Success","Become a Data Management Rockstar for Nonprofit, Higher Ed and K-12 (2)","Salesforce.org nonprofit and education customers - Join us for an interactive discussion with other nonprofit customers to gain an understanding around Data management and its challenges which impact all areas of your organization. Determine not only what features are available but also the best practices for using Salesforce functionality for effective data management. Employ the right tools to ensure that you keep your data clean and enriched."
"","Education; Nonprofit","User Experience; Tips & Tricks; Innovation","Consultant; New Customer; Salesforce Administrator","Lightning; Cloud Services","Tower Salon B","The Westin St. Francis","Tuesday","3:30 p.m. - 4:10 p.m.","11/7/2017 3:30 PM","Small: > 200","40","37","Circle of Success","Exploring Cases: Program & Constituent Management for Nonprofit & Education","Salesforce.org nonprofit and education customers - Join us for an interactive discussion with other nonprofit customers to gain an understanding of Managing the services you provide to constituents more efficiently with native Salesforce functionality. This session will focus on covering the fundamental concepts and functionality that you can use to manage your Constituent Services more efficiently. In addition, we will collaborate on common service adoption challenges and share ways to use Analytics and KPIs to achieve operational excellence. Manage the services you provide to constituents more efficiently with native Salesforce functionality."
